연관키워드,월간검색수 ,,월평균클릭수 ,,월평균클릭률 ,,경쟁정도,월평균노출 광고수
간기능검사,630,"3,640",0,5,-,0.15%,높음,10
기업종합검진,10,< 10,0.1,0,2.05%,-,높음,7
유학생검진,20,50,0.7,1.8,2.86%,4.07%,높음,7
췌장검사,690,"4,800",0.4,13.4,0.07%,0.3%,높음,10
췌장검사병원,70,630,0.3,9,0.48%,1.52%,높음,7
초음파검사,320,"3,250",0.5,13.8,0.16%,0.47%,높음,10
공무원채용신체검사,"1,440","6,330",2.4,31.8,0.17%,0.52%,높음,10
종합병원,"1,380","7,920",2.3,10.2,0.18%,0.14%,높음,10
심전도검사병원,70,680,0,3.8,-,0.61%,높음,7
웨딩검진,70,200,0.2,2.8,0.31%,1.5%,높음,10
심장내과,"1,680","11,700",7,123,0.45%,1.14%,높음,10
동탄건강검진,220,480,1.5,5,0.75%,1.14%,높음,10
소변검사,330,"2,160",0.2,5.4,0.06%,0.26%,높음,10
2024국가검진대상,< 10,< 10,0,0,-,-,낮음,0
부산갑상선병원,270,830,2.2,11.8,0.85%,1.56%,높음,10
대구건강검진,910,"1,440",5.9,17.4,0.74%,1.29%,높음,10
MRI해석,< 10,10,0,0,-,-,높음,3
청주건강검진센터,390,"1,740",2,28.2,0.56%,1.82%,높음,7
동탄건강검진센터,150,550,1,8.6,0.75%,1.54%,높음,10
암유전자검사,240,880,0.2,0.3,0.12%,0.05%,높음,10
고지혈증,"8,100","48,400",6,280.5,0.09%,0.63%,높음,10
서울본내과,430,"2,590",10,116.5,2.54%,5%,낮음,2
심장내과전문의,70,890,0,0,-,-,낮음,0
건강관리협회,"4,840","13,200",20.8,122,0.49%,1.09%,중간,3
혈관외과,580,"3,310",3.2,26.2,0.58%,0.88%,높음,10
당뇨초기증상,"4,870","51,700",16.6,896.5,0.37%,1.83%,높음,10
부산갑상선,170,170,0.4,2.2,0.26%,1.31%,높음,10
심장통증,710,"9,690",1.4,58.5,0.21%,0.64%,높음,10
부정맥,"5,890","33,600",2.1,68.6,0.04%,0.22%,높음,10
심혈관질환,820,"4,600",0.7,19.7,0.1%,0.47%,높음,10
흉부외과,980,"8,620",1.6,72.6,0.18%,0.91%,높음,10
암검진,120,400,0,2,-,0.53%,높음,10
부산건강검진,400,910,2,9.8,0.55%,1.17%,높음,10
심장초음파,"1,290","5,220",0.3,11.4,0.03%,0.24%,높음,10
심장두근거림,670,"8,500",0.3,43.5,0.05%,0.55%,높음,10
혈관외과병원,70,960,1,18.6,1.22%,2.16%,높음,10
수원건강검진센터,680,"2,970",7.6,115.2,1.22%,4.18%,높음,10
협심증증상,840,"9,130",0.6,47.3,0.08%,0.55%,높음,10
청주건강검진,260,630,0.4,4,0.18%,0.72%,높음,10
혈관내과,120,960,0.1,3.3,0.11%,0.54%,높음,10
심장병원,110,850,0.2,8.8,0.22%,1.1%,높음,10
인천건강검진,280,470,3.2,10.6,1.2%,2.47%,높음,10
하남건강검진,150,310,3.2,14.4,2.26%,5.18%,높음,10
대구내분비내과,120,570,0.7,6.8,0.71%,1.3%,높음,7
갑상선기능저하증,"5,890","49,900",1.5,76.6,0.03%,0.17%,높음,10
동탄내시경,20,40,0,0.5,-,0.7%,높음,10
심장내과명의,60,540,0.7,9,1.07%,1.79%,높음,10
2024건강검진대상자,< 10,< 10,0,0,-,-,낮음,0
심부정맥혈전증,560,"2,710",0.2,8.8,0.04%,0.39%,높음,10
서교동본내과,< 10,80,0,12.4,-,15.95%,낮음,2
혈압,"1,960","15,400",1.7,37,0.1%,0.26%,높음,10
대구종합건강검진,70,240,0.4,8.8,0.62%,3.83%,높음,10
대구건강검진센터,500,"1,960",3.8,47.4,0.85%,2.79%,높음,10
류마티스내과,"2,280","16,900",5.5,157.8,0.27%,1.01%,높음,10
심장병증상,270,"1,690",1.4,18.6,0.48%,1.2%,높음,10
협심증,"5,120","26,900",1.7,81.8,0.04%,0.32%,높음,10
건협,120,160,13.7,8.7,15.39%,5.87%,낮음,1
심혈관질환병원,50,130,0,1,-,0.85%,높음,10
당료수치,< 10,< 10,0,0.4,-,5.89%,낮음,0
심혈관내과,110,430,0.4,3.9,0.4%,1.01%,높음,10
혈관검사,140,900,0.3,7.4,0.22%,0.87%,높음,10
아산본내과,260,"1,610",45,308,18.91%,21.68%,낮음,1
갑상선검사,"1,170","7,500",0.7,26.6,0.07%,0.39%,높음,10
혈관종,"2,150","14,400",2.1,40.1,0.11%,0.3%,높음,10
갑상선,"3,050","17,100",1.8,41.4,0.07%,0.27%,높음,10
한방병원,"3,370","24,200",22.5,174.9,0.71%,0.78%,높음,10
심혈관검사,180,890,0.2,9,0.13%,1.08%,높음,10
심혈관병원,60,190,0.1,1.3,0.17%,0.73%,높음,10
인천종합건강검진,30,60,0.7,3.6,1.85%,5.15%,높음,10
심장병,690,"2,240",0.5,6.3,0.08%,0.41%,높음,10
출장건강검진,120,90,0.1,0.7,0.21%,1.06%,높음,7
혈관병원,30,320,0.1,1.8,0.33%,0.68%,높음,10
마곡건강검진,80,320,0,0.8,-,0.21%,높음,10
부산종합건강검진,70,140,0.3,2,0.47%,1.51%,높음,10
동탄검진센터,10,60,0.4,1.8,2.68%,3.31%,높음,7
동탄위내시경,30,100,0,1.3,-,1.28%,높음,9
동맥경화검사,"1,200","4,370",0.4,14.8,0.04%,0.37%,높음,10
혈관외과명의,20,300,0.1,9.6,0.36%,3.41%,높음,10
심장전문의,40,180,0,0,-,-,낮음,0
손발차가움,60,230,0,1.3,-,0.57%,높음,10
강남내과,450,"1,020",2.7,2.4,0.63%,0.26%,높음,10
심장질환,490,"1,980",0.2,3.4,0.06%,0.25%,높음,10
인천건강검진센터,510,"2,100",7.5,45.8,1.65%,2.47%,높음,10
갑상선기능저하증검사,270,"1,160",0.3,1,0.12%,0.09%,높음,10
변비병원,120,910,0.3,8.8,0.32%,1.1%,높음,10
당뇨병증상,500,"2,470",0.6,21.5,0.13%,0.92%,높음,10
경동맥,"1,570","7,430",0.4,31,0.03%,0.45%,높음,9
서울심장내과,100,430,1.1,7.4,1.16%,1.89%,높음,9
대구종합검진,50,90,1.8,2.1,4%,2.93%,높음,10
뇌혈관검사,190,"1,180",0.2,10.6,0.11%,0.96%,높음,10
혈관초음파,100,450,0,2.6,-,0.66%,높음,10
부산갑상선암,50,40,0.1,0.3,0.24%,0.57%,높음,10
강남심장내과,70,160,1.2,8,1.75%,4.6%,높음,9
부정맥병원,150,590,0,2.5,-,0.6%,높음,10
혈관염,800,"5,150",0.6,13.3,0.08%,0.28%,높음,10
심장혈관내과,40,220,0,2.8,-,1.33%,높음,10
생애주기별건강검진,550,"3,070",0,21.8,-,1.11%,높음,7
야간진료,200,"1,610",0,2,-,0.14%,높음,10
서울종합건강검진,30,60,0,1,-,1.97%,높음,10
인천건강검진병원,30,60,0.4,1.9,1.12%,2.88%,높음,10
인천건강검진잘하는곳,< 10,< 10,0,0.7,-,16.67%,높음,7
인천논현건강검진,10,20,0.1,0.8,1.59%,3.85%,높음,7
개인종합검진,10,20,0.6,0,4.77%,-,높음,7
분당공단검진,< 10,10,0,0.3,-,1.67%,높음,7
분당내시경,30,60,0,1.3,-,2.12%,높음,7
판교건강검진병원,< 10,20,0.1,1.8,1.67%,9.73%,높음,10
판교건강검진센터,40,170,0.5,6.4,1.57%,3.93%,높음,10
판교검진센터,10,40,0.1,0.5,0.96%,1.07%,높음,7
판교대장내시경,< 10,30,0.1,1,1.41%,3.04%,높음,9
판교역건강검진,10,40,0,0.3,-,0.76%,중간,6
판교위내시경,< 10,30,0,0,-,-,높음,7
건강검진추천,140,260,0.1,0.3,0.09%,0.1%,높음,10
서울종합검진센터,30,90,0.1,0.3,0.58%,0.29%,높음,7
서초건강검진,30,40,0,0.8,-,1.88%,높음,10
부평건강검진,70,190,0.2,1.8,0.32%,1.03%,높음,10
부평위내시경,10,70,0,0.3,-,0.51%,높음,3
인천MRI,50,110,0.5,1.8,0.93%,1.64%,높음,10
자궁경부암검사,"2,020","23,000",0.6,24.3,0.04%,0.12%,높음,10
인천종합검진,40,70,0.6,3.2,1.5%,5.43%,높음,10
종합검진추천,10,30,0,0.7,-,3.04%,높음,3
강남건강검진,220,240,0.9,4.6,0.42%,1.97%,높음,10
공무원채용검진병원,80,200,0,0.7,-,0.41%,높음,3
종합건강검진추천,30,60,0.4,1.1,1.65%,1.86%,높음,7
종합검진할인,10,10,0.3,0.3,2.05%,1.57%,높음,7
특수검진병원,90,80,0,0,-,-,높음,3
건강검진센타,< 10,< 10,0,0.3,-,4.17%,낮음,0
경기광주건강검진병원,30,160,1.3,11.8,3.3%,5.91%,중간,6
경기광주종합검진,< 10,10,0,0.5,-,2.78%,높음,7
폐암검진기관,20,20,0,0,-,-,높음,3
개인건강검진,50,110,0,1,-,1.45%,높음,10
동탄건강검진병원,10,20,0,0,-,-,높음,7
동탄검진,< 10,10,0,0,-,-,높음,3
동탄국가검진,< 10,10,0,0.5,-,2.2%,높음,7
동탄직장인건강검진,< 10,10,0,1.1,-,6.25%,중간,6
건강검진기관,160,210,0.1,0.5,0.06%,0.24%,높음,10
폐암검진병원,30,50,0,2,-,4.09%,높음,7
회사건강검진,320,"1,220",0.5,1.7,0.21%,0.22%,높음,10
종합건강검진예약,150,500,0.9,11.6,0.64%,2.5%,높음,10
VIP건강검진,20,70,0.2,1,1.12%,2.28%,높음,10
건강검진저렴한곳,10,10,0,0,-,-,높음,7
아산특수건강검진,< 10,< 10,0,0,-,-,높음,3
아산특수검진,< 10,< 10,0,0,-,-,높음,3
천안특수건강검진,30,20,0,0,-,-,중간,1
특수건강검진비용,250,420,0,1,-,0.25%,높음,3
특수건강검진항목,670,"1,960",0.3,0.7,0.08%,0.06%,높음,3
PETCT,"1,000","3,600",0.5,5.2,0.06%,0.2%,중간,7
기업건강검진,150,70,1.4,0,0.99%,-,높음,10
건강검진프로그램,< 10,20,0.1,0.8,2.05%,3.41%,높음,7
대장용종,820,"6,530",0.5,30.6,0.07%,0.52%,높음,10
폐CT병원,20,190,0.4,3.3,1.91%,1.77%,높음,10
여성건강검진,30,360,0.1,2.3,0.32%,1.07%,높음,10
건강검진문진표,240,680,0,0.8,-,0.12%,높음,10
영양주사,150,970,0.2,3.9,0.16%,0.45%,높음,10
학생검진,180,450,0,0,-,-,높음,7
자궁경부암예방접종,"1,230","11,100",0.5,21.8,0.05%,0.23%,높음,10
자궁경부암주사,470,"3,040",0,3.8,-,0.14%,높음,10
건강검진가능한병원,< 10,50,0,0,-,-,높음,7
위내시경검사,160,600,0.2,2.3,0.14%,0.41%,높음,10
향남건강검진,60,130,0,0,-,-,높음,7
향남읍병원,< 10,20,0,0,-,-,높음,3
화성병원,60,250,0.2,0.8,0.36%,0.33%,높음,10
채용검진병원,250,"1,470",0.2,3.9,0.09%,0.29%,높음,10
복부MRI,190,"1,060",0.3,3.5,0.22%,0.52%,높음,10
종합건강검진이벤트,< 10,10,0.3,0.5,3.58%,2.36%,높음,7
서울대입구대장내시경,< 10,10,0.5,0,25%,-,중간,2
건강검진부산,10,40,0.1,2.4,1.59%,5.64%,높음,7
부산검진센터,30,180,1,5.8,3.45%,3.17%,높음,10
부산종합건강검진센터,< 10,20,0.1,0.8,1.67%,4.17%,높음,10
부산종합검진병원,30,10,0.1,0.5,0.48%,3.58%,높음,7
부산종합검진센터,10,20,0.1,1.5,0.84%,6%,높음,10
대장내시경검사비용,140,950,0.5,9.4,0.38%,1.1%,높음,10
강남구건강검진센터,10,20,0.1,0.8,1.25%,3.95%,높음,10
남부터미널건강검진,< 10,10,0,0.5,-,4%,높음,3
서초구건강검진,20,50,0.2,2.3,0.91%,5.12%,높음,10
서초구건강검진센터,10,10,0.3,0,2.11%,-,높음,7
수면내시경비용,220,"1,760",0.3,7,0.14%,0.45%,높음,10
당뇨병,"1,650","6,600",1.1,22.4,0.07%,0.37%,높음,10
성남내과,130,440,0,2.8,-,0.65%,높음,10
복부CT병원,30,360,0,4.3,-,1.44%,높음,7
공무원채용검진,540,700,1.7,2.4,0.27%,0.38%,높음,7
출장검진,60,110,0.4,0.8,0.78%,0.67%,높음,7
서울건강검진병원,30,40,0,0.3,-,0.59%,높음,7
서울종합검진,10,20,0,0.3,-,1.32%,높음,7
공무원건강검진,290,"1,230",0.3,2.2,0.11%,0.2%,높음,10
위내시경비용,930,"7,400",0.4,23.4,0.05%,0.35%,높음,10
운전면허신체검사,920,"7,000",2,19.8,0.23%,0.31%,높음,7
내시경검사,100,300,0,2.3,-,1.04%,높음,10
CT,"1,750","6,360",0.1,6,0.01%,0.11%,높음,10
저선량폐CT병원,20,230,0.5,1.8,2.64%,1.11%,높음,10
대전건강검진센터,280,"1,010",4.3,27.6,1.66%,3.09%,높음,10
말초동맥질환,160,820,0,6.2,-,0.73%,높음,10
독감예방접종가격,10,20,0,0,-,-,높음,10
예방접종,"1,940","5,430",0,6.2,-,0.13%,높음,10
위고비,"14,400","76,100",6.4,175,0.05%,0.25%,높음,7
부천종합검진,20,30,0,2,-,5.72%,높음,7
대장내시경잘하는곳,10,90,0,1,-,1.57%,높음,7
뇌염,390,"2,080",0,0.8,-,0.05%,높음,3
MRI가격,"1,280","14,000",3.5,132.8,0.29%,1%,높음,10
직원건강검진,40,30,0.3,0.5,1.3%,2.18%,높음,7
부천건강검진,170,420,0.5,5.2,0.3%,1.34%,높음,10
건강검진대구,20,80,0.4,2,1.6%,2.67%,높음,10
건강검진센터대구,10,80,0.1,5.4,0.96%,7.06%,높음,7
건강관리협회대구,160,190,1.7,3.3,1.11%,1.88%,중간,6
건강관리협회대구북부,< 10,< 10,0,0,-,-,중간,1
경북건강검진,< 10,< 10,0.2,0,4%,-,중간,5
경북건강검진센터,< 10,40,0.8,3.5,16.67%,11.24%,중간,4
경북건강관리협회,30,80,0,0,-,-,중간,3
경산건강검진,30,50,0,1.6,-,2.78%,중간,7
경산건강검진센터,< 10,20,0,0.8,-,3.66%,중간,6
경주건강검진,30,110,0,2.1,-,2.28%,높음,3
경주건강검진센터,< 10,30,0.5,0,10%,-,중간,4
구미건강검진,60,150,0.3,0.3,0.45%,0.28%,높음,3
구미건강검진센터,20,120,0,0.7,-,0.67%,높음,3
구미시건강검진,< 10,< 10,0,0.3,-,3.71%,높음,3
대구건강관리협회,550,"2,010",8.1,65.4,1.5%,3.45%,중간,5
대구검진센터,40,210,0.2,6,0.48%,3.19%,높음,10
대구종합검진센터,10,40,0.2,3,0.96%,5.77%,높음,10
포항건강검진,50,240,0.3,2.8,0.63%,1.27%,높음,7
50대건강검진,20,90,0,0,-,-,높음,10
60대건강검진,10,130,0,0.5,-,0.46%,높음,7
건강검진권,40,70,0.2,0,0.4%,-,중간,6
공단건강검진,410,980,0.3,1.6,0.08%,0.19%,높음,10
국민건강보험공단지정병원,10,< 10,0,0,-,-,중간,2
당뇨증상,"2,240","19,300",2,103.6,0.1%,0.57%,높음,10
채용신체검사,620,"2,150",1,6.4,0.17%,0.32%,높음,10
혈당검사,600,"2,000",0.3,6.2,0.1%,0.45%,높음,10
저선량폐CT,630,"3,010",0.6,16.7,0.11%,0.57%,높음,10
건강검진잘하는병원,10,50,0,0.3,-,0.57%,높음,7
뇌동맥류검사,170,"1,470",0.2,6.5,0.14%,0.66%,높음,10
복부초음파검사,530,"8,220",0.2,17,0.05%,0.23%,높음,10
MRI비용,490,"3,040",1.6,16,0.35%,0.56%,높음,10
갑상샘저하증,100,260,0,0.3,-,0.11%,높음,7
갑상선고주파,70,150,0.9,2.2,1.2%,1.29%,높음,10
부산건강검진병원,70,100,0.1,1.6,0.14%,1.57%,높음,10
MRI병원,40,610,0,3.6,-,0.66%,높음,10
강동구내과,240,500,1.5,3.8,0.65%,0.83%,높음,10
강동구내시경,10,10,0,0.8,-,5.56%,높음,7
폐렴,"4,040","18,000",3.4,76.8,0.09%,0.46%,높음,10
수액가격,350,"3,730",0.1,17.4,0.05%,0.53%,높음,7
인공신장실,240,740,0.8,2.8,0.36%,0.39%,높음,10
20대건강검진,130,900,0,0.8,-,0.15%,높음,10
내과병원,280,"2,950",0.9,4.4,0.34%,0.16%,높음,10
송담내과,< 10,< 10,0,0,-,-,낮음,0
평택CT,< 10,20,0.2,1.3,1.79%,4.66%,중간,6
평택CT촬영,< 10,10,0,0.3,-,3.34%,높음,3
평택MRI,30,100,0.8,2.9,2.24%,3.19%,중간,8
평택건강검진,150,500,1.5,11.4,1.05%,2.45%,높음,10
평택건강검진센터,60,230,0.1,2.5,0.23%,1.33%,높음,7
평택검진센터,10,20,0,0.3,-,1.59%,높음,3
평택대장내시경,10,130,0,3.1,-,2.9%,높음,7
평택복부초음파,< 10,60,0.4,0.8,7.7%,1.43%,높음,3
평택종합건강검진,< 10,30,0,1.1,-,3.89%,높음,7
평택종합검진,10,30,0,1.3,-,3.38%,높음,7
심전도검사,"1,560","13,400",1.7,31.8,0.12%,0.26%,높음,10
부천건강검진병원,30,40,0.3,0.3,0.7%,0.57%,높음,7
부천건강검진예약,< 10,10,0,0,-,-,높음,7
부천종합검진센터,10,< 10,0,0.3,-,4.77%,중간,6
수원저선량폐CT,< 10,20,0,1.8,-,6.98%,낮음,2
수원폐CT,10,30,1.2,0.5,11.54%,1.76%,중간,3
영통가정의학과,< 10,50,0,0.4,-,0.79%,중간,2
영통역이비인후과,50,330,0,0.3,-,0.11%,높음,3
폐CT비용,210,"1,450",1.1,11.8,0.65%,0.93%,높음,7
논현동내과,250,270,0.1,1.2,0.05%,0.48%,높음,10
당일대장내시경,120,"1,140",0.3,6.5,0.29%,0.61%,높음,10
부천건강검진센터,120,400,0.8,11.8,0.78%,3.5%,높음,10
둔촌동내과,90,380,0.3,7.8,0.33%,2.1%,높음,10
부산위내시경,80,170,0,0,-,-,높음,10
갑상선기능검사,500,"1,600",0.2,2,0.05%,0.14%,높음,10
MRI검사,580,"6,410",0.9,47,0.17%,0.81%,높음,10
내시경,790,"2,370",2.6,9.3,0.36%,0.41%,높음,8
연산동내과,230,650,0.2,1.5,0.09%,0.25%,높음,10
부산갑상선검사,30,50,0.2,0.5,0.75%,1.32%,높음,10
근골격계,700,"1,330",0.7,9.6,0.11%,0.74%,높음,10
근골격계질환,"2,040","5,400",5.3,73.6,0.27%,1.45%,높음,7
위내시경잘하는병원,10,120,0,1.3,-,1.43%,높음,10
위장내시경,10,60,0,0,-,-,높음,7
MRI검사비용,100,870,0.2,7,0.2%,0.92%,높음,10
MRI촬영,90,390,0.2,1.6,0.21%,0.44%,높음,10
무릎MRI비용,210,"1,630",0.5,6.6,0.26%,0.44%,높음,10
어깨MRI비용,120,880,0.2,8.2,0.17%,1.03%,높음,10
허리MRI비용,230,"1,930",0.4,11.4,0.18%,0.65%,높음,10
건강,"2,620","5,990",0.9,8.8,0.04%,0.16%,높음,10
스트레스,"3,840","7,320",2.1,10.6,0.06%,0.16%,높음,10
