연관키워드,월간검색수 ,,월평균클릭수 ,,월평균클릭률 ,,경쟁정도,월평균노출 광고수
만성신부전,460,"1,300",0.1,2.6,0.03%,0.21%,높음,10
이비인후과,"31,100","380,700",14.1,447.7,0.05%,0.14%,높음,10
공복혈당,"2,830","16,100",1.8,101.7,0.07%,0.68%,높음,10
결석,700,"3,330",0,5.6,-,0.19%,높음,10
요로결석증상,"1,310","14,800",3.4,101.4,0.29%,0.76%,높음,10
과민성방광,760,"4,840",0.7,25.8,0.11%,0.59%,높음,10
투석,"1,010","4,570",0.1,7.4,0.02%,0.17%,높음,10
왼쪽아랫배통증,"2,350","41,600",0.2,94.5,0.01%,0.25%,높음,10
공복혈당높은이유,900,"6,060",0.6,73.3,0.07%,1.27%,높음,10
신장사료,20,120,0.3,2.8,1.48%,2.19%,높음,8
신장투석,"1,290","7,830",0.8,28.6,0.07%,0.39%,높음,10
소아과,"3,100","128,900",1.3,76.1,0.05%,0.07%,높음,10
강아지심장병,220,"1,930",0.3,16.6,0.16%,0.88%,높음,10
혈당체크,320,"1,110",1.1,18.8,0.39%,1.77%,높음,8
신장투석병원,30,190,0.1,1,0.33%,0.58%,높음,10
공복혈당수치,"1,680","27,400",3.8,476.8,0.24%,1.86%,높음,10
강아지신장화식,60,250,2.3,13.3,4.67%,5.53%,높음,7
소변검사지,80,230,0.1,5.8,0.14%,2.19%,중간,8
신장결석증상,440,"4,700",0.3,18,0.08%,0.43%,높음,9
요로결석내시경,40,280,0.6,2.2,1.79%,1.12%,높음,7
인슐린주사,790,"5,300",1.5,75,0.21%,1.52%,높음,10
강아지중성화수술,120,870,0.1,5.8,0.1%,0.71%,높음,10
만성방광염,190,870,0.4,1.9,0.23%,0.23%,높음,10
신부전강아지사료,10,60,0.6,0.8,5.8%,1.72%,높음,7
산부인과,"9,470","199,400",22.6,431.4,0.26%,0.24%,높음,10
당화혈색소정상수치,"2,910","20,200",6.6,388.1,0.25%,2.09%,높음,10
이쁜이수술비용,330,740,0.1,7.4,0.04%,1.26%,높음,10
강아지신장에좋은음식,50,740,0.6,11.5,1.06%,1.68%,높음,10
생리불순,640,"2,780",0,2.6,-,0.1%,높음,10
응급실,"2,260","41,300",0.4,76.6,0.02%,0.21%,높음,10
공복혈당정상수치,"3,200","25,300",6.7,294.6,0.23%,1.26%,높음,7
강아지신장처방사료,< 10,20,0.1,1.2,4.77%,6.56%,높음,7
서울본내과,430,"2,590",10,116.5,2.54%,5%,낮음,2
신장병원,40,360,0,0.5,-,0.15%,높음,10
산부인과웨딩검진,10,40,0.1,0,1.2%,-,높음,7
ESWT,910,"1,260",0.1,0.5,0.02%,0.06%,높음,10
신장결석병원,50,340,0.4,5.4,0.84%,1.61%,높음,10
왼쪽옆구리통증,"2,480","38,700",2.1,127.5,0.1%,0.36%,높음,10
요로결석쇄석술,160,880,0,3.4,-,0.44%,높음,7
요로결석제거,390,"2,910",0.8,38.8,0.24%,1.43%,높음,10
요실금한의원,10,10,0.1,0.5,1.43%,2.78%,높음,7
혈액투석,710,"2,440",0.6,11.2,0.1%,0.49%,높음,10
요실금수술병원,20,210,0.3,10.2,1.04%,4.86%,높음,10
당뇨수치,860,"4,610",0.6,47.4,0.08%,1.09%,높음,10
강아지사료,"4,690","39,300",31.8,251,0.73%,0.8%,높음,8
당뇨식단표,380,"2,740",5.1,140.6,1.34%,5.52%,높음,10
강아지저단백사료,20,190,0.1,4,0.44%,2.2%,높음,8
요실금병원,30,230,0.3,4.4,1.2%,2.08%,높음,10
신장투석비용,340,"3,690",1,41.6,0.33%,1.26%,높음,10
사후피임약,930,"27,100",0.1,33.5,0.02%,0.14%,높음,10
레날사료,40,260,0.4,3.3,0.95%,1.28%,중간,7
과민성방광치료방법,110,640,0.3,6.7,0.27%,1.11%,높음,10
혈당측정기,"5,020","26,100",52.8,797,1.13%,3.26%,중간,8
출산,"1,410","6,410",0,4.5,-,0.1%,높음,10
당뇨에안좋은음식,500,"5,590",3,150.2,0.69%,2.94%,높음,10
외과,"2,940","35,800",0.5,31.6,0.02%,0.1%,높음,10
혈당검사,600,"2,000",0.3,6.2,0.1%,0.45%,높음,10
질쎄라,270,610,0.4,4.6,0.15%,0.74%,높음,10
당뇨에좋은음식,"3,550","42,000",17.6,"1,268.8",0.53%,3.2%,높음,10
부인과성형,< 10,10,0,0.8,-,6.82%,높음,10
성병병원,< 10,70,0,1.7,-,2.22%,높음,10
소음순,690,"9,470",0.6,8.6,0.22%,0.13%,높음,10
여성포경수술,30,180,0,2.2,-,1.35%,높음,10
요실금수술잘하는곳,20,80,0.2,4.4,0.94%,5.06%,높음,10
당화혈색소낮추기,970,"6,900",5.6,144.3,0.61%,2.3%,높음,10
자궁경부암,"1,730","19,200",0.3,26.6,0.02%,0.16%,높음,10
옆구리통증,450,"4,110",1,32.2,0.24%,0.84%,높음,10
질레이저,130,540,0.1,6.4,0.07%,1.25%,높음,10
당료수치,< 10,< 10,0,0.4,-,5.89%,낮음,0
청주요양병원,320,910,2.2,15.4,0.75%,1.82%,높음,10
당뇨운동,120,590,0,3.3,-,0.59%,높음,10
천안신장내과,20,190,0,1.5,-,0.82%,중간,5
혈당측정기추천,410,"1,850",3.2,50.5,0.87%,2.79%,중간,8
슬개골탈구수술,70,210,0.1,0.4,0.13%,0.2%,높음,10
여주효과,40,220,0,2.5,-,1.51%,높음,7
당뇨한의원,80,140,1.3,3.4,1.74%,3.34%,높음,10
아랫배통증,"1,080","21,700",0.5,36,0.05%,0.18%,높음,10
요로결석원인,830,"6,610",0.5,27.6,0.07%,0.46%,높음,10
혈액투석요양병원,10,90,0,4.4,-,7.1%,높음,10
당뇨식단,"1,960","15,200",23.5,498.4,1.27%,3.47%,높음,10
요양병원,"5,180","23,100",39.7,177.2,0.85%,0.82%,높음,10
오른쪽옆구리통증,"2,240","36,700",1.3,171.7,0.07%,0.5%,높음,10
과민성방광염,160,"1,240",0.1,9,0.08%,0.79%,높음,10
요실금수술가격,60,910,0.2,30.2,0.48%,3.37%,높음,10
혈당,"1,710","7,530",4.5,42.7,0.28%,0.61%,높음,8
당뇨증상,"2,240","19,300",2,103.6,0.1%,0.57%,높음,10
과민성방광한의원,150,50,0,0.8,-,2.09%,높음,10
전립선염,"1,400","4,120",1.4,21.8,0.12%,0.56%,높음,10
투석실,70,290,0.9,2.3,1.27%,0.78%,높음,10
응급의학과,210,"1,480",0,1.7,-,0.24%,중간,1
당뇨전단계관리,610,"5,630",1.4,150.6,0.26%,2.89%,높음,7
요실금미니슬링,< 10,30,0,0,-,-,높음,7
신장에좋은사료,< 10,30,0.1,2.8,14.29%,8.6%,높음,7
골반근육복원술,< 10,< 10,0,0,-,-,높음,3
공복혈당낮추는법,220,750,0.2,4.5,0.1%,0.67%,높음,10
식후혈당정상수치,"1,410","14,900",2.7,304.6,0.2%,2.18%,높음,10
산부인과성형,< 10,20,0.4,0.8,4.77%,2.5%,높음,7
소음순수술후기,100,800,0,2.6,-,0.37%,높음,10
여의사산부인과,220,"6,010",1.2,48.8,0.52%,0.85%,높음,10
이쁜이수술후기,150,410,0,2,-,0.71%,높음,10
요로결석병원,150,970,0.4,11.6,0.29%,1.31%,높음,10
과민성방광병원,40,100,0.2,2.6,0.48%,3.18%,높음,10
숙대건강검진,< 10,10,0,0,-,-,높음,7
싸이모신,730,"1,460",0.3,1.8,0.04%,0.13%,높음,7
염좌,"2,370","13,300",0.2,38.2,0.01%,0.3%,높음,10
인공신장실,240,740,0.8,2.8,0.36%,0.39%,높음,10
방광염에좋은음식,230,"1,690",0.1,47.8,0.05%,2.99%,높음,10
강아지신장에좋은사료,< 10,40,0.1,2,1.67%,6.25%,높음,10
요로결석통증,520,"5,320",1,44,0.23%,0.91%,높음,10
무채혈혈당측정기,260,900,2.6,28.6,1.07%,3.45%,중간,8
요실금증세,180,"4,590",0.1,57,0.06%,1.3%,높음,10
과민성방광증후군,160,"1,240",0.4,8.8,0.26%,0.73%,높음,10
당뇨한약,50,160,0.1,2,0.21%,1.74%,높음,10
강아지신장간식,30,210,0.4,5.3,1.14%,2.75%,높음,8
몸살,"3,020","4,940",1.1,4.3,0.04%,0.1%,높음,7
투석가능요양병원,30,70,0,2.6,-,5.62%,높음,9
과민성방광치료,90,140,0,1.2,-,1.01%,높음,10
발기부전,970,"6,530",3.2,25.6,0.39%,0.48%,높음,10
혈당측정기무채혈,< 10,30,0.1,0.8,1.79%,1.79%,높음,8
발기부전치료제,860,"6,650",3.8,105.6,0.47%,1.7%,높음,10
슬개골수술,80,480,0,4.8,-,1.04%,높음,10
소변검사키트,80,220,0.8,4,0.89%,1.97%,높음,8
강아지슬개골수술,190,600,0.4,4.6,0.23%,0.81%,높음,10
동물병원건강검진,30,90,0.3,0.5,0.96%,0.61%,높음,7
용산구건강검진,10,30,0.1,1.8,0.85%,6.04%,높음,7
호흡기내과,"1,690","14,100",7.5,180.2,0.47%,1.34%,높음,10
혈액투석병원,10,70,0,1.7,-,2.2%,높음,10
당뇨에좋은약초,40,290,0,6.4,-,2.41%,높음,10
강아지신장영양제,100,780,0.7,12.6,0.75%,1.66%,중간,8
방광염치료제,40,150,0,1,-,1.04%,높음,10
요실금원인,130,820,0.4,7,0.34%,0.89%,높음,10
키드니튜나,< 10,40,0,1.3,-,3.2%,높음,3
고양이건강검진,150,640,0,3,-,0.5%,높음,10
질가려움,290,"5,810",0.3,24.4,0.13%,0.47%,높음,10
부종,"1,310","4,590",0.1,7.5,0.01%,0.18%,높음,10
갱년기산부인과,30,190,0.1,1.5,0.5%,1.16%,높음,10
바이오피드백,310,850,0.2,8.8,0.1%,1.55%,높음,10
당뇨측정기추천,40,210,0.8,3.5,1.75%,3.08%,높음,8
요실금수술잘하는병원,20,100,0.2,8.2,0.65%,7.6%,높음,10
여의사비뇨기과,30,540,1.1,15,3.24%,2.92%,높음,10
과민성방광원인,90,400,0,2.7,-,0.71%,높음,10
요실금수술비용,100,"1,130",0.3,18.6,0.37%,1.88%,높음,10
신장,"2,420","12,900",1.6,36.6,0.07%,0.31%,높음,7
여성방광염원인,90,420,0.4,3.2,0.45%,0.75%,높음,10
비뇨기과,"8,580","101,900",29.5,351.8,0.38%,0.38%,높음,10
당뇨강아지사료,< 10,30,0.3,2.3,6.9%,5.93%,중간,6
혈당수치,"1,150","6,450",1.2,59,0.12%,1.02%,높음,10
고양이중성화수술,100,570,0.1,5.2,0.11%,1.01%,높음,10
인공신장,140,870,0,2.5,-,0.39%,높음,10
안산투석,10,< 10,0,0,-,-,높음,7
신장내과추천,10,70,0,0,-,-,높음,3
용산구건강검진센터,< 10,10,0,1.6,-,12.5%,낮음,0
당뇨에좋은운동,190,530,0.2,11.5,0.12%,2.3%,높음,10
당뇨검사키트,140,950,0.8,17.5,0.49%,1.83%,높음,8
강아지신부전간식,40,350,0.5,10,2.11%,3.96%,높음,8
여성질환,100,450,0,2.2,-,0.51%,높음,10
만성신부전증,270,"1,610",0.3,0.3,0.16%,0.03%,높음,3
당에좋은음식,110,"1,780",0.9,82.6,0.82%,4.88%,높음,10
통풍,"5,410","29,700",1.3,85.2,0.03%,0.32%,높음,10
동결건조사료,250,"1,020",1.9,18.8,0.84%,2.01%,높음,9
갱년기한의원,90,150,1.7,3.4,1.51%,2.17%,높음,10
광명동물병원,340,680,0.2,3.8,0.07%,0.6%,높음,10
배뇨통,210,830,0,1.5,-,0.19%,높음,10
고양이화식,100,490,1.8,20,1.99%,4.31%,높음,8
강아지담낭점액종,120,590,0,2,-,0.37%,높음,7
당뇨떡,150,790,1.7,45.5,1.13%,6.06%,중간,8
과민성방광염증상,60,280,0,0,-,-,높음,3
야간투석,30,60,0,0.8,-,1.48%,높음,10
질염,"1,260","19,200",1.2,16.8,0.1%,0.1%,높음,10
당료,120,970,0.1,10,0.11%,1.32%,높음,10
당뇨식단배달,180,810,8,106.6,4.33%,13.98%,높음,10
여성요실금,10,150,0,1.4,-,0.97%,높음,10
요실금검사,30,250,0.4,0.6,1.43%,0.23%,높음,10
강아지심장사상충약,"1,340","14,100",12.6,256.6,0.96%,1.87%,높음,10
대사증후군,"2,250","12,700",0.7,28,0.04%,0.26%,높음,7
자동혈당측정기,110,430,3.1,23,3.56%,5.64%,높음,8
동물병원MRI,20,50,2.1,1,7.15%,2.13%,높음,7
요로결석치료,150,800,0,4.6,-,0.63%,높음,10
방광암증상,520,"7,990",0.8,45.4,0.17%,0.59%,높음,10
수원투석요양병원,10,40,0,2.3,-,4.79%,높음,7
여성방광염치료,20,20,0,0,-,-,높음,7
신부전증,"1,200","8,380",0,31.3,-,0.39%,높음,10
야간투석병원,10,80,0,0.3,-,0.36%,높음,7
강아지결석간식,30,230,0.6,4.3,2.41%,2.14%,높음,8
당뇨에좋은과일,790,"10,300",5.5,271,0.77%,2.84%,높음,10
용산구건강검진병원,< 10,< 10,0,0,-,-,높음,3
용산위내시경,< 10,10,0,0,-,-,높음,3
당뇨병초기증상,580,"3,300",0.2,13.5,0.04%,0.45%,높음,10
강아지요로결석간식,10,130,0.1,1.8,0.79%,1.58%,높음,8
인천요양병원,480,"1,290",4.6,43.6,0.99%,3.48%,높음,10
광진구요로결석,< 10,10,0,0.5,-,4.66%,높음,7
신장결석비뇨기과,10,20,0,0,-,-,높음,3
요로결석24시간,< 10,20,0,0.8,-,2.97%,높음,9
야뇨증병원,10,40,0,0.5,-,1.17%,높음,10
야간뇨병원,10,70,0,1,-,2.09%,높음,7
요실금명의,< 10,50,0,0,-,-,낮음,0
요로결석수술병원,10,30,0,1.5,-,5.61%,높음,7
혈뇨증,10,50,0,0,-,-,높음,7
요도결석,90,570,0,3.6,-,0.71%,높음,10
로와치넥스,160,280,0.7,0,0.57%,-,중간,1
방광결석,200,"1,510",0,4.2,-,0.31%,높음,10
신장결석검사,20,80,0,0.3,-,0.38%,높음,7
여성요로결석,240,"1,920",0,0.3,-,0.03%,높음,3
여자요로결석병원,10,180,0,0.7,-,0.69%,높음,3
요로결석수술비,40,350,0,2.8,-,0.94%,높음,7
음경초음파,< 10,10,0,0,-,-,중간,2
하복부통증,130,"1,380",0,2.3,-,0.25%,높음,10
요로결석검사,70,340,0.2,1,0.27%,0.35%,높음,10
체외충격파쇄석술,380,870,0.3,2,0.09%,0.26%,높음,10
요로결석치료병원,10,30,0.1,1.8,1.43%,5.07%,높음,7
안양정자검사,< 10,20,0,0,-,-,중간,1
서울여성의원,50,330,0.1,1.5,0.22%,0.51%,높음,10
질건조증치료,130,"1,240",0.2,13.8,0.16%,0.95%,높음,10
요로결석내시경수술,40,230,0,1.8,-,0.9%,높음,7
체외충격파,"4,150","11,800",1.5,33.2,0.03%,0.27%,중간,8
여성혈뇨,30,250,0,0,-,-,높음,3
요로결석비뇨기과,40,190,0.8,2.6,1.6%,1.41%,높음,10
요로결석체외충격파,150,800,0,1,-,0.18%,높음,3
등통증,"1,070","10,400",0.6,27.2,0.06%,0.28%,높음,10
요로결석수술비용,20,120,0,2.4,-,2.36%,높음,10
강서구요로결석,< 10,20,0,0.8,-,4.45%,높음,7
과민성방광염치료,40,120,0.3,1.4,0.63%,1.25%,높음,7
과민성방광증상,100,360,0.1,2.6,0.11%,0.77%,높음,10
방광염이란,< 10,40,0,1.8,-,4.07%,높음,7
방광염한방치료,< 10,40,0,0.3,-,0.7%,높음,7
오줌소태원인,30,510,1,13.6,2.44%,2.38%,높음,7
성인야뇨증,310,"4,630",0.1,14.4,0.04%,0.41%,높음,10
체외충격파쇄석기,70,220,0.3,0.8,0.51%,0.45%,높음,10
체외충격파치료,"3,970","28,200",3,88.1,0.07%,0.3%,높음,10
오른쪽아랫배통증,"1,530","27,500",0.2,60.9,0.02%,0.24%,높음,9
주말비뇨기과,< 10,110,0,2,-,1.79%,높음,10
여성배뇨장애,20,40,0,0.3,-,0.74%,높음,7
일요일진료비뇨기과,10,130,0.2,1.5,2.86%,1.11%,높음,10
방광통증증후군,40,160,0,0.5,-,0.32%,높음,10
요로결석응급실,50,310,0,4.2,-,1.41%,높음,10
비뇨기과야간진료,20,220,0.5,2.8,2.78%,1.25%,높음,10
인천요로결석,20,50,0.5,1.8,2.18%,3.68%,높음,10
노로바이러스,"3,300","22,700",0.6,24.8,0.02%,0.12%,높음,10
건대산부인과,120,990,0.9,12.6,0.76%,1.35%,높음,9
유레아플라즈마,970,"14,600",0,11.5,-,0.09%,높음,10
소변혈뇨,70,950,0,3.5,-,0.56%,높음,10
혈뇨병원,60,220,0,0,-,-,높음,7
부평요로결석,60,90,0.2,1.3,0.32%,1.73%,높음,10
요관결석,210,770,0.1,4.4,0.06%,0.62%,높음,10
혈뇨증상,60,160,0.1,0.8,0.23%,0.52%,높음,7
공휴일비뇨기과,< 10,40,0,0.6,-,1.16%,높음,10
마포서울비뇨기과,10,40,0.5,0,3.85%,-,중간,2
방광암,910,"5,350",0.9,29.4,0.11%,0.57%,높음,10
소변에피,70,"1,070",0,5.6,-,0.55%,높음,10
여자비뇨기과의사,20,310,0.6,9.3,2.31%,3.42%,높음,10
빈뇨,"1,080","3,780",0.1,3.5,0.01%,0.1%,높음,10
항문곤지름병원,20,110,0.2,0.5,0.91%,0.65%,높음,10
HPV바이러스,"2,380","31,600",0.9,38.3,0.05%,0.14%,높음,10
야간다뇨,10,90,0,0,-,-,높음,7
모란비뇨기과,30,190,0,1.8,-,1.02%,중간,7
판교요로결석,< 10,10,0,0,-,-,중간,6
야간진료비뇨기과,< 10,90,0,1.2,-,1.67%,높음,10
절박뇨,500,"1,830",0.1,3.2,0.03%,0.19%,높음,10
숙대정형외과,20,90,0,0.3,-,0.36%,중간,3
곤지름치료,110,690,0,4.2,-,0.63%,높음,10
비뇨기과여성,10,140,0,0,-,-,높음,3
절박뇨치료,50,190,0,1.4,-,0.63%,높음,10
빈뇨증상,90,740,0.2,2.3,0.24%,0.34%,높음,10
성인야간뇨,60,220,0,0.7,-,0.41%,높음,3
소변에거품이,20,60,0,0,-,-,높음,3
수면중소변,40,220,0,0,-,-,높음,3
만성요도염,20,80,0,0,-,-,높음,7
서울여성비뇨기과,30,330,0.6,15.8,1.88%,5.09%,높음,10
소변냄새,270,"6,900",0.3,42,0.11%,0.62%,높음,10
전립선비대증증상,710,"3,320",0.3,28.4,0.05%,0.95%,높음,10
방광경검사,100,480,0.1,2.3,0.15%,0.49%,높음,7
신장검사,440,"3,420",0.5,10.4,0.12%,0.34%,높음,10
혈뇨검사,20,100,0,1.2,-,1.23%,높음,10
마이코플라즈마,700,"6,840",0.1,5.3,0.02%,0.09%,높음,10
웨딩검진,70,200,0.2,2.8,0.31%,1.5%,높음,10
병의원,130,340,0.1,0.5,0.08%,0.16%,높음,10
소아야뇨증,120,"1,210",0,3.2,-,0.29%,높음,10
신데렐라주사,"1,700","8,850",0.4,9.4,0.03%,0.12%,높음,10
가다실9가격,650,"4,230",0.4,10.6,0.07%,0.29%,높음,10
야뇨증,650,"3,440",0,4.4,-,0.16%,높음,10
24시간요로결석,60,280,0.4,3.4,0.65%,1.25%,높음,10
곤지름,"1,830","17,700",1.4,22,0.09%,0.14%,높음,10
요폐,110,300,0,0,-,-,높음,3
비뇨의학과,"1,260","4,850",6.2,41,0.54%,0.92%,높음,10
남성요실금,80,550,0.1,6.8,0.14%,1.27%,높음,10
전립선동맥색전술,30,60,0.2,0.5,0.81%,1.3%,중간,5
수영비뇨기과,20,130,0,0.8,-,0.64%,중간,8
수영청담비뇨기과,20,340,0.6,7.3,2.64%,2.42%,낮음,2
PSA수치,"1,520","7,150",7.8,129.4,0.57%,1.96%,높음,10
소변에피가,< 10,40,0,0,-,-,낮음,0
자기장치료,330,"2,290",0.7,13.3,0.24%,0.64%,높음,7
야간뇨,500,"2,070",0.3,13,0.07%,0.66%,높음,10
급박뇨,140,480,0,2.2,-,0.49%,높음,10
잔뇨,160,900,0,0.9,-,0.11%,높음,7
성인음낭수종수술,< 10,30,0,0,-,-,중간,2
콘딜로마,600,"6,720",0.3,2.2,0.07%,0.07%,높음,10
남성비뇨기과,300,"3,050",4.3,85,1.42%,2.99%,높음,10
전립선암,"2,140","16,500",2.5,120.8,0.13%,0.78%,높음,10
전립선MRI,70,270,0.5,4.4,0.75%,1.78%,높음,10
남자정액검사,110,840,0,0,-,-,높음,3
야뇨증치료,20,160,0.2,0.4,1.12%,0.32%,높음,10
